atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2025-04-24,2025-04-28,0,2.51,2.51,2.56,2.51,2.59,332000,858960,2.58722892,2.51,2.51,2.56,2.51,2.59,332000,2.58723,-0.01569
2025-04-23,2025-04-25,0,2.55,2.56,2.6,2.52,2.67,1412000,3633000,2.57294618,2.55,2.56,2.6,2.52,2.67,1412000,2.57295,0.00791
2025-04-22,2025-04-24,0,2.53,2.5,2.55,2.5,2.57,548000,1393840,2.54350365,2.53,2.5,2.55,2.5,2.57,548000,2.5435,0
2025-04-17,2025-04-23,0,2.53,2.52,2.53,2.52,2.55,204000,514600,2.52254902,2.53,2.52,2.53,2.52,2.55,204000,2.52255,-0.00394
2025-04-16,2025-04-22,0,2.54,2.5,2.55,2.49,2.67,624000,1585560,2.54096154,2.54,2.5,2.55,2.49,2.67,624000,2.54096,0.01195
2025-04-15,2025-04-17,0,2.51,2.51,2.53,2.51,2.57,924000,2339680,2.53212121,2.51,2.51,2.53,2.51,2.57,924000,2.53212,0.004
2025-04-14,2025-04-16,0,2.5,2.48,2.53,2.49,2.55,112000,281000,2.50892857,2.5,2.48,2.53,2.49,2.55,112000,2.50893,0.00402
2025-04-11,2025-04-15,0,2.49,2.49,2.5,2.48,2.56,844000,2104960,2.49402844,2.49,2.49,2.5,2.48,2.56,844000,2.49403,-0.00797
2025-04-10,2025-04-14,0,2.51,2.48,2.56,2.48,2.57,524000,1315640,2.51076336,2.51,2.48,2.56,2.48,2.57,524000,2.51076,-0.00791
2025-04-09,2025-04-11,0,2.53,2.49,2.53,2.5,2.6,784000,1984200,2.53086735,2.53,2.49,2.53,2.5,2.6,784000,2.53087,-0.00394
2025-04-08,2025-04-10,0,2.54,2.53,2.58,2.53,2.68,992000,2563720,2.58439516,2.54,2.53,2.58,2.53,2.68,992000,2.5844,0.00395
2025-04-07,2025-04-09,0,2.53,2.53,2.54,2.38,2.68,888000,2272600,2.55923423,2.53,2.53,2.54,2.38,2.68,888000,2.55923,0.00797
2025-04-03,2025-04-08,0,2.51,2.47,2.52,2.45,2.51,1016000,2547000,2.50688976,2.51,2.47,2.52,2.45,2.51,1016000,2.50689,0.02033
2025-04-02,2025-04-07,0,2.46,2.45,2.51,2.46,2.51,336000,842840,2.50845238,2.46,2.45,2.51,2.46,2.51,336000,2.50845,-0.016
2025-04-01,2025-04-03,0,2.5,2.49,2.5,2.41,2.55,344000,862000,2.50581395,2.5,2.49,2.5,2.41,2.55,344000,2.50581,0.00402
2025-03-31,2025-04-02,0,2.49,2.45,2.5,2.46,2.51,704000,1752760,2.48971591,2.49,2.45,2.5,2.46,2.51,704000,2.48972,-0.00797
2025-03-28,2025-04-01,0,2.51,2.42,2.5,2.46,2.54,1040000,2600440,2.50042308,2.51,2.42,2.5,2.46,2.54,1040000,2.50042,-0.00397
2025-03-27,2025-03-31,0,2.52,2.47,2.52,2.48,2.54,972000,2445800,2.51625514,2.52,2.47,2.52,2.48,2.54,972000,2.51626,0.00398
2025-03-26,2025-03-28,0,2.51,2.5,2.51,2.5,2.53,728000,1835880,2.52181319,2.51,2.5,2.51,2.5,2.53,728000,2.52181,-0.00397
2025-03-25,2025-03-27,0,2.52,2.47,2.54,2.48,2.53,392000,990640,2.52714286,2.52,2.47,2.54,2.48,2.53,392000,2.52714,0.008
2025-03-24,2025-03-26,0,2.5,2.5,2.53,2.5,2.54,724000,1831120,2.52917127,2.5,2.5,2.53,2.5,2.54,724000,2.52917,0
2025-03-21,2025-03-25,0,2.5,2.52,2.53,2.4,2.53,1036000,2600640,2.51027027,2.5,2.52,2.53,2.4,2.53,1036000,2.51027,0
2025-03-20,2025-03-24,0,2.5,2.43,2.5,2.43,2.55,1572000,3970000,2.52544529,2.5,2.43,2.5,2.43,2.55,1572000,2.52545,0
2025-03-19,2025-03-21,0,2.5,2.39,2.5,2.4,2.52,96000,236160,2.46,2.5,2.39,2.5,2.4,2.52,96000,2.46,0.03734
2025-03-18,2025-03-20,0,2.41,2.33,2.43,2.33,2.45,112000,269080,2.4025,2.41,2.33,2.43,2.33,2.45,112000,2.4025,0.03433
2025-03-17,2025-03-19,0,2.33,2.32,2.41,2.32,2.42,96000,228760,2.38291667,2.33,2.32,2.41,2.32,2.42,96000,2.38292,-0.04898
2025-03-14,2025-03-18,0,2.45,2.44,2.46,2.45,2.45,88000,215600,2.45,2.45,2.44,2.46,2.45,2.45,88000,2.45,-0.00407
2025-03-13,2025-03-17,0,2.46,2.41,2.47,2.43,2.49,88000,215920,2.45363636,2.46,2.41,2.47,2.43,2.49,88000,2.45364,-0.016
2025-03-12,2025-03-14,0,2.5,2.47,2.5,2.48,2.5,88000,218480,2.48272727,2.5,2.47,2.5,2.48,2.5,88000,2.48273,0.00402
2025-03-11,2025-03-13,0,2.49,2.47,2.5,2.47,2.5,108000,268880,2.48962963,2.49,2.47,2.5,2.47,2.5,108000,2.48963,0
2025-03-10,2025-03-12,0,2.49,2.48,2.5,2.42,2.5,88000,218240,2.48,2.49,2.48,2.5,2.42,2.5,88000,2.48,0.0122
2025-03-07,2025-03-11,0,2.46,2.45,2.48,2.42,2.46,184000,447560,2.4323913,2.46,2.45,2.48,2.42,2.46,184000,2.43239,0.01235
2025-03-06,2025-03-10,0,2.43,2.42,2.53,2.41,2.55,104000,255040,2.45230769,2.43,2.42,2.53,2.41,2.55,104000,2.45231,0
2025-03-05,2025-03-07,0,2.43,2.41,2.44,2.43,2.43,88000,213840,2.43,2.43,2.41,2.44,2.43,2.43,88000,2.43,-0.00816
2025-03-04,2025-03-06,0,2.45,2.44,2.46,2.44,2.47,100000,245600,2.456,2.45,2.44,2.46,2.44,2.47,100000,2.456,-0.00407
2025-03-03,2025-03-05,0,2.46,2.45,2.52,2.46,2.5,96000,237520,2.47416667,2.46,2.45,2.52,2.46,2.5,96000,2.47417,0.01653
2025-02-28,2025-03-04,0,2.42,2.41,2.44,2.42,2.44,88000,213200,2.42272727,2.42,2.41,2.44,2.42,2.44,88000,2.42273,-0.0082
2025-02-27,2025-03-03,0,2.44,2.43,2.5,2.44,2.5,92000,224560,2.44086957,2.44,2.43,2.5,2.44,2.5,92000,2.44087,-0.02008
2025-02-26,2025-02-28,0,2.49,2.46,2.5,2.47,2.49,88000,219040,2.48909091,2.49,2.46,2.5,2.47,2.49,88000,2.48909,-0.01969
2025-02-25,2025-02-27,0,2.54,2.48,2.56,2.49,2.73,212000,543280,2.56264151,2.54,2.48,2.56,2.49,2.73,212000,2.56264,0.02008
2025-02-24,2025-02-26,0,2.49,2.41,2.49,2.44,2.49,96000,236520,2.46375,2.49,2.41,2.49,2.44,2.49,96000,2.46375,0.02049
2025-02-21,2025-02-25,0,2.44,2.42,2.5,2.42,2.45,92000,224320,2.43826087,2.44,2.42,2.5,2.42,2.45,92000,2.43826,0.00412
2025-02-20,2025-02-24,0,2.43,2.42,2.47,2.43,2.46,100000,244440,2.4444,2.43,2.42,2.47,2.43,2.46,100000,2.4444,-0.01619
2025-02-19,2025-02-21,0,2.47,2.46,2.53,2.46,2.59,88000,220200,2.50227273,2.47,2.46,2.53,2.46,2.59,88000,2.50227,-0.012
