Ticker,Avg_Gross_margin,Avg_NetIncome_growth,Avg_ebit_growth,Avg_ebit_margin,Avg_net_margin,Avg_sales_growth,Buyback,CashAndCashEquivalents,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,Dividend,EBIT,EbitMargin,Exchange,Fx_rate,GrossMargin,InterestExpense,InvestmentProperties,InvestmentinFinancialAssets,Last_fy,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MinorityInterest,Name,NetIncomeCommonStockholders,NetMargin,NetPPE,OtherShortTermInvestments,Price,Price_currency,Reporting_Currency,SellingGeneralAndAdministration,Shares,TotalAssets,TotalEquityGrossMinorityInterest,TotalRevenue,Years_of_data,CFF,CFI,CFO,Sector
000036.SZ,33.5666666667,-29.43,-30.57,61.5,22.59,-22.53,0.0,2185953000.95,724556628.65,6429347192.65,0.0,281386089.38,2222516298.73,0.0,1034387636.8100001,54.96,SHZ,1,38.5,52054532.49,767143171.89,99308437.85,1640908800000,2874817.64,745280430.45,21233451.34,0.0,CHINA UNION HOLD L,406315301.76,21.59,763748558.27,1215000000.0,4.01,CNY,CNY,122982890.13,1483929984,9007561982.85,5999728730.14,1881927155.59,3,,,,
000045.SZ,86.8933333333,76.74,53.97,10.7933333333,1.7833333332999999,3.24,0.0,566354882.58,1908519413.28,2689461715.24,0.0,23358448.96,602681960.19,0.0,323788603.27,14.12,SHZ,1,83.21,14306275.13,100899825.73,186033829.72,1640908800000,6475611.83,735637874.55,132937154.31,0.0,SHN TEXTILE HLDGS,61162384.25,2.67,2363379135.24,453943732.3,10.67,CNY,CNY,61439875.51,457022016,5582145871.05,4029788315.2,2293747892.06,3,,,,
000088.SZ,62.9833333333,13.39,15.78,31.63,67.4,8.76,0.0,2526569460.38,418888536.57,3046989941.73,0.0,17606822.34,899353413.96,0.0,223271486.30000007,32.84,SHZ,1,61.61,78784299.41,0.0,99098102.8,1640908800000,4298316.59,4352823912.15,4509679461.76,0.0,SHN YAN TIAN PORT,461413741.83,67.87,7031758959.49,0.0,4.99,CNY,CNY,37708186.83,2249159936,16087430052.76,10714977354.62,679868209.7,3,,,,
000096.SZ,89.6,-21.9,7.97,6.39,7.4833333333,3.76,0.0,1213739857.04,1455952256.69,1500741402.13,0.0,10505584.28,105806765.37,0.0,107849462.27999994,6.66,SHZ,1,89.89,100590.49,116361965.54,507047841.44,1640908800000,1110594.72,1110594.72,282981710.8,0.0,SHENZHEN GUANGJU E,67704378.87,4.18,45268449.79,157210635.57,8.5,CNY,CNY,55910430.53,528000000,2773589983.47,2607665720.41,1619712149.5,3,,,,
000099.SZ,72.95,8.07,5.79,25.1,14.0566666667,3.64,0.0,1686713501.8,1235049135.52,3121431366.22,0.0,188681798.84,620265121.28,0.0,412227512.1300001,24.53,SHZ,1,73.48,61763881.67,0.0,0.0,1640908800000,213706209.7,507286474.89,519465.42,0.0,CITIC OFFSHORE HEL,246481713.17,14.67,2990197390.12,0.0,7.28,CNY,CNY,33449373.24,775769984,6432710536.15,5053038939.98,1680726020.89,3,,,,
0001.HK,46.4833333333,-5.97,-6.75,44.2266666667,12.06,-2.74,0.32349531060000003,112315000000.0,130414000000.0,190655000000.0,13689000000.0,61299000000.0,151498000000.0,2.5135507303,119501000000.0,42.55,HKG,1,46.44,10214000000.0,408000000.0,13035000000.0,1640908800000,57707000000.0,298302000000.0,295726000000.0,0.0,CKH HOLDINGS,33484000000.0,11.92,181082000000.0,0.0,48.8,HKD,HKD,30932000000.0,3830040064,1137770000000.0,637117000000.0,280847000000.0,3,,,,
0002.HK,67.3066666667,60.06,0.02,32.693333333300004,9.9766666667,-0.81,0.0,3660000000.0,57333000000.0,63367000000.0,222000000.0,13949000000.0,64346000000.0,3.1000020772,26626000000.0,31.71,HKG,1,68.29,1383000000.0,943000000.0,0.0,1640908800000,0.0,48857000000.0,17559000000.0,0.0,CLP HOLDINGS,8491000000.0,10.11,145020000000.0,0.0,57.4,HKD,HKD,0.0,2526449920,260522000000.0,120046000000.0,83959000000.0,3,,,,
0003.HK,56.08,-15.12,5.67,43.92,13.7333333333,15.81,0.0,10166100000.0,32591800000.0,24156500000.0,116200000.0,16810100000.0,35134800000.0,0.0,20971900000.0,39.15,HKG,1,60.85,1408200000.0,849000000.0,6914900000.0,1640908800000,0.0,41478000000.0,47226300000.0,0.0,HK & CHINA GAS,5017000000.0,9.37,71430700000.0,72700000.0,7.65,HKD,HKD,0.0,18659899392,164968100000.0,78129900000.0,53563700000.0,3,,,,
0004.HK,41.13,34.94,8.19,49.5633333333,21.79,15.51,0.0,18404000000.0,11064000000.0,65374000000.0,0.0,3035000000.0,38822000000.0,0.0,9290000000.0,41.51,HKG,1,49.44,316000000.0,74799000000.0,0.0,1640908800000,0.0,26246000000.0,34020000000.0,0.0,WHARF HOLDINGS,6019000000.0,26.9,12347000000.0,0.0,22.5,HKD,HKD,2024000000.0,3056029952,242629000000.0,161950000000.0,22378000000.0,3,,,,
000403.SZ,50.9233333333,63.1,49.57,32.4733333333,18.3533333333,51.23,0.0,810443406.27,1063309148.85,2767432189.94,0.0,286834786.2,812098042.25,0.0,635257069.4699999,32.22,SHZ,1,53.93,9986721.51,368833.91,0.0,1640908800000,27400467.61,49752467.61,0.0,0.0,PACIFIC SHUANGLIN,391063978.44,19.83,1186100869.36,471463117.32,22.91,CNY,CNY,273168097.53,732360000,7547922275.04,6604984090.33,1971734315.85,3,,,,
000404.SZ,89.7466666667,169.34,19.24,7.6433333333,0.9433333333,17.64,0.0,3930543246.81,12057068650.33,8978095156.84,0.0,1477136976.81,7638914064.36,0.0,955291274.3700004,7.24,SHZ,1,91.35,36893294.06,3034739.01,1437651542.56,1640908800000,38414922.43,118414922.43,180537716.53,0.0,CHANGHONG HUAYI CO,185433491.94,1.4,1700755660.06,450539616.44,5.95,CNY,CNY,186701905.31,695996032,12684723890.82,4696458401.12,13199061830.01,3,,,,
000408.SZ,50.2233333333,248.93,126.83,40.3666666667,22.23,42.31,0.0,1864323292.83,1491573298.97,3589867148.39,0.0,3332369.09,1122367263.88,0.0,2026626781.06,55.94,SHZ,1,41.17,48022.18,1421495.48,171960000.0,1640908800000,10339548.5,10339548.5,3132708181.85,0.0,ZANGGE MINING CO L,1427339931.06,39.4,3051217630.07,52951477.84,26.77,CNY,CNY,104394242.99,1580440064,11951467904.47,10798138306.09,3622594323.02,3,,,,
000416.SZ,0.0366666667,-18.91,-23.02,59.7633333333,34.8933333333,-16.92,0.0,43635707.33,0.0,780231163.7,0.0,7664284.06,20371390.55,0.0,31409564.99,55.74,SHZ,1,0.0,0.0,0.0,68071214.06,1640908800000,6590667.46,6590667.46,31560536.87,0.0,MINSHENG HOLDINGS,13608655.64,24.15,39566618.06,175904070.1,3.86,CNY,CNY,24938496.41,531871008,928779360.36,901817302.35,56348061.4,3,,,,
000419.SZ,70.17,-9.86,-5.89,19.5,6.1833333333,-17.92,0.0,1198586614.97,1602347470.4,2401870224.12,0.0,229030684.28,1113818625.72,0.0,503226337.63999987,21.61,SHZ,1,68.8,59248429.16,0.0,1091594174.23,1640908800000,596782471.29,644782471.29,0.0,0.0,C/TONGCHENG HOLD C,138470858.4,5.95,1415163763.75,0.0,6.76,CNY,CNY,223370990.29,543582976,5251587304.28,3286782636.47,2328944798.33,3,,,,
